physics,chemistry,maths,biology,total,stream,rank
98,99,0,50,247,PCB,3936
94,73,89,0,256,PCM,1948
56,62,90,0,208,PCM,10746
55,67,90,0,212,PCM,9305
45,83,0,31,159,PCB,75485
91,26,62,0,179,PCM,29805
89,92,0,33,214,PCB,12086
64,50,52,0,166,PCM,40232
39,36,87,0,162,PCM,45810
58,25,0,35,118,PCB,142358
24,81,0,41,146,PCB,97602
55,68,62,0,185,PCM,24221
77,35,85,0,197,PCM,14751
93,22,0,92,207,PCB,15603
40,63,0,22,125,PCB,133030
23,74,0,44,141,PCB,106583
53,48,55,0,156,PCM,53897
70,75,0,77,222,PCB,8236
31,22,0,48,101,PCB,156194
70,90,0,24,184,PCB,36645
98,25,0,32,155,PCB,81037
64,55,45,0,164,PCM,43183
62,51,0,92,205,PCB,19482
56,91,31,0,178,PCM,29617
74,23,27,0,124,PCM,88078
52,68,84,0,204,PCM,12488
69,41,25,0,135,PCM,78371
97,20,0,57,174,PCB,50330
41,43,0,34,118,PCB,140098
53,76,72,0,201,PCM,12780
46,94,0,33,173,PCB,52603
67,71,52,0,190,PCM,20934
100,74,59,0,233,PCM,3862
65,47,69,0,181,PCM,27761
26,95,0,38,159,PCB,74358
75,89,0,51,215,PCB,11687
43,96,0,63,202,PCB,19759
26,79,0,29,134,PCB,116496
69,75,88,0,232,PCM,5235
41,49,60,0,150,PCM,58920
88,38,30,0,156,PCM,53840
28,66,0,65,159,PCB,75309
62,76,0,51,189,PCB,30148
60,73,86,0,219,PCM,7728
89,23,96,0,208,PCM,10777
93,98,25,0,216,PCM,6939
51,47,0,75,173,PCB,49850
86,54,0,61,201,PCB,20957
76,23,69,0,168,PCM,38578
29,61,0,82,172,PCB,51957
45,56,26,0,127,PCM,86075
64,52,75,0,191,PCM,19998
60,85,0,85,230,PCB,6107
79,87,0,99,265,PCB,2282
36,26,77,0,139,PCM,73157
93,95,35,0,223,PCM,6939
78,27,41,0,146,PCM,65415
98,30,70,0,198,PCM,14913
71,55,29,0,155,PCM,53612
48,76,0,62,186,PCB,35382
96,23,0,31,150,PCB,89188
27,59,37,0,123,PCM,88586
72,96,100,0,268,PCM,1714
96,42,26,0,164,PCM,44441
66,58,22,0,146,PCM,65030
29,35,0,54,118,PCB,141994
58,89,90,0,237,PCM,3004
26,70,91,0,187,PCM,21610
65,69,0,86,220,PCB,10362
52,50,0,81,183,PCB,39102
87,78,0,28,193,PCB,28286
86,24,29,0,139,PCM,72937
83,87,53,0,223,PCM,6165
93,46,35,0,174,PCM,34222
98,29,83,0,210,PCM,10511
35,57,26,0,118,PCM,92961
70,21,0,82,173,PCB,50565
27,54,67,0,148,PCM,61723
43,60,66,0,169,PCM,38542
27,44,45,0,116,PCM,95481
25,94,0,57,176,PCB,45576
26,38,67,0,131,PCM,80709
86,91,94,0,271,PCM,1
57,28,40,0,125,PCM,87054
48,34,0,38,120,PCB,137163
22,27,75,0,124,PCM,88631
28,25,28,0,81,PCM,113063
72,66,0,52,190,PCB,30638
71,37,0,97,205,PCB,16190
22,71,45,0,138,PCM,74327
71,95,0,21,187,PCB,33556
29,76,0,98,203,PCB,20443
55,69,41,0,165,PCM,42556
25,66,51,0,142,PCM,69209
55,42,27,0,124,PCM,87743
76,70,0,94,240,PCB,3895
25,65,61,0,151,PCM,58286
69,62,62,0,193,PCM,18292
65,49,0,52,166,PCB,60370
76,53,0,48,177,PCB,46596
87,74,89,0,250,PCM,2201
90,35,31,0,156,PCM,52678
52,100,42,0,194,PCM,18006
49,22,40,0,111,PCM,99178
59,91,87,0,237,PCM,3714
91,29,53,0,173,PCM,33895
83,43,76,0,202,PCM,13097
61,28,0,93,182,PCB,37858
68,24,22,0,114,PCM,97662
88,72,0,31,191,PCB,30559
37,75,0,56,168,PCB,60601
39,94,0,55,188,PCB,32269
41,70,0,95,206,PCB,16066
82,64,58,0,204,PCM,11811
30,32,100,0,162,PCM,44755
83,38,64,0,185,PCM,22916
31,90,0,44,165,PCB,63745
66,68,0,57,191,PCB,30976
65,45,0,97,207,PCB,17017
77,80,66,0,223,PCM,5870
42,61,0,37,140,PCB,106795
49,71,64,0,184,PCM,24531
89,29,0,23,141,PCB,105612
27,62,86,0,175,PCM,31079
98,63,61,0,222,PCM,6218
91,89,0,71,251,PCB,2399
22,87,31,0,140,PCM,72206
92,78,0,72,242,PCB,3558
24,57,34,0,115,PCM,96260
97,90,0,27,214,PCB,11542
80,56,20,0,156,PCM,52845
50,88,0,68,206,PCB,18133
39,80,40,0,159,PCM,50476
59,68,0,77,204,PCB,19111
29,29,0,44,102,PCB,155393
56,96,95,0,247,PCM,1937
35,57,22,0,114,PCM,97784
97,89,0,46,232,PCB,7554
81,76,0,45,202,PCB,19091
43,48,20,0,111,PCM,99700
85,39,0,53,177,PCB,44053
35,36,90,0,161,PCM,48169
53,30,0,96,179,PCB,44051
96,34,42,0,172,PCM,34413
82,38,30,0,150,PCM,59545
25,47,94,0,166,PCM,40493
76,72,0,79,227,PCB,8051
48,36,91,0,175,PCM,31211
80,27,80,0,187,PCM,22279
26,51,37,0,114,PCM,96105
47,21,0,37,105,PCB,154295
81,68,50,0,199,PCM,15470
39,84,0,71,194,PCB,26508
100,59,0,63,222,PCB,8321
53,25,0,92,170,PCB,57415
74,52,39,0,165,PCM,41856
75,69,79,0,223,PCM,6902
81,50,0,54,185,PCB,36740
92,89,0,30,211,PCB,13302
21,65,0,51,137,PCB,113164
65,62,0,43,170,PCB,55953
79,88,58,0,225,PCM,4506
60,98,0,74,232,PCB,7626
59,58,96,0,213,PCM,8831
64,56,34,0,154,PCM,54825
57,72,0,89,218,PCB,12810
91,42,21,0,154,PCM,56369
21,53,51,0,125,PCM,87262
96,89,0,67,252,PCB,4704
90,40,22,0,152,PCM,57801
96,71,0,92,259,PCB,3532
59,92,0,33,184,PCB,36256
86,44,38,0,168,PCM,39368
34,27,0,55,116,PCB,144840
55,82,82,0,219,PCM,6393
86,24,82,0,192,PCM,19023
32,23,0,100,155,PCB,80059
40,36,0,80,156,PCB,80811
93,30,0,78,201,PCB,20130
63,44,83,0,190,PCM,20258
93,22,59,0,174,PCM,34250
27,77,0,26,130,PCB,122836
33,44,0,60,137,PCB,111655
41,35,0,99,175,PCB,46983
77,22,26,0,125,PCM,86849
92,77,60,0,229,PCM,5379
82,70,99,0,251,PCM,1417
59,27,59,0,145,PCM,65481
99,41,35,0,175,PCM,31790
90,99,78,0,267,PCM,2140
78,39,73,0,190,PCM,19569
93,71,62,0,226,PCM,5319
88,76,81,0,245,PCM,2618
83,98,66,0,247,PCM,2030
80,92,0,70,242,PCB,4582
31,34,86,0,151,PCM,59524
38,24,0,72,134,PCB,118218
24,91,87,0,202,PCM,13450
50,63,31,0,144,PCM,66976
21,45,39,0,105,PCM,103764
75,100,0,26,201,PCB,20360
35,65,79,0,179,PCM,28926
38,52,62,0,152,PCM,57990
78,94,0,39,211,PCB,14187
63,27,96,0,186,PCM,22202
35,92,50,0,177,PCM,30611
50,88,63,0,201,PCM,14173
92,41,31,0,164,PCM,43971
37,41,0,39,117,PCB,142831
90,21,0,94,205,PCB,18115
84,39,0,38,161,PCB,69913
46,82,0,49,177,PCB,46114
52,44,0,37,133,PCB,117854
87,25,0,80,192,PCB,28001
88,91,0,98,277,PCB,1995
95,57,0,100,252,PCB,2683
66,53,0,59,178,PCB,43357
54,50,0,97,201,PCB,21072
86,55,21,0,162,PCM,44953
43,42,26,0,111,PCM,99549
80,35,0,33,148,PCB,93004
27,96,24,0,147,PCM,63666
64,73,0,79,216,PCB,10453
91,83,41,0,215,PCM,7261
45,73,0,37,155,PCB,82407
73,22,0,38,133,PCB,120413
46,53,0,57,156,PCB,80509
38,20,46,0,104,PCM,104500
98,51,54,0,203,PCM,12605
38,98,91,0,227,PCM,5488
40,70,82,0,192,PCM,18737
86,44,0,99,229,PCB,6865
46,54,81,0,181,PCM,26928
49,59,45,0,153,PCM,56799
85,22,0,48,155,PCB,80016
34,63,0,32,129,PCB,126269
69,32,72,0,173,PCM,34702
68,51,0,52,171,PCB,55412
45,54,0,70,169,PCB,57336
36,49,0,100,185,PCB,37242
83,65,0,59,207,PCB,16338
48,92,40,0,180,PCM,27839
32,56,0,46,134,PCB,118482
94,54,84,0,232,PCM,4973
76,89,0,83,248,PCB,5152
57,36,90,0,183,PCM,25957
54,85,0,28,167,PCB,60666
58,73,66,0,197,PCM,15162
29,79,41,0,149,PCM,60775
83,42,99,0,224,PCM,5231
80,90,0,87,257,PCB,1648
97,66,0,40,203,PCB,19471
83,58,54,0,195,PCM,16518
34,23,0,51,108,PCB,150151
81,80,56,0,217,PCM,8621
89,65,0,98,252,PCB,3591
28,52,0,24,104,PCB,154873
90,22,21,0,133,PCM,80404
43,82,0,74,199,PCB,21537
64,76,44,0,184,PCM,23705
87,29,46,0,162,PCM,45475
54,42,0,66,162,PCB,67161
95,41,50,0,186,PCM,21877
69,71,22,0,162,PCM,45471
23,91,0,99,213,PCB,12332
52,72,65,0,189,PCM,20763
20,91,57,0,168,PCM,39730
51,60,59,0,170,PCM,37614
61,53,41,0,155,PCM,52971
59,97,98,0,254,PCM,1965
87,28,0,64,179,PCB,44228
67,29,37,0,133,PCM,80017
63,65,0,64,192,PCB,28184
90,56,0,34,180,PCB,40734
40,81,92,0,213,PCM,8852
25,95,55,0,175,PCM,31552
79,80,0,32,191,PCB,27483
92,85,0,84,261,PCB,2397
42,76,80,0,198,PCM,15379
71,92,0,91,254,PCB,1667
22,57,63,0,142,PCM,68839
79,64,29,0,172,PCM,34298
100,20,81,0,201,PCM,13624
67,92,0,45,204,PCB,17330
80,50,67,0,197,PCM,15432
62,76,0,67,205,PCB,19386
76,48,48,0,172,PCM,35835
51,43,0,83,177,PCB,44268
92,65,51,0,208,PCM,10997
100,56,0,58,214,PCB,14030
59,24,0,40,123,PCB,134085
77,48,89,0,214,PCM,8244
74,67,71,0,212,PCM,8173
61,65,90,0,216,PCM,8637
55,72,0,22,149,PCB,90727
81,80,0,59,220,PCB,11211
20,50,95,0,165,PCM,41435
49,76,53,0,178,PCM,28825
82,68,0,72,222,PCB,11181
44,37,95,0,176,PCM,30677
22,38,0,78,138,PCB,110098
23,80,83,0,186,PCM,21875
81,62,72,0,215,PCM,7307
38,72,0,41,151,PCB,89256
79,36,79,0,194,PCM,18759
52,83,60,0,195,PCM,17987
30,41,0,36,107,PCB,152859
40,63,0,64,167,PCB,59281
43,30,0,62,135,PCB,117043
64,49,0,56,169,PCB,55762
95,87,84,0,266,PCM,1341
51,67,0,21,139,PCB,110749
76,41,0,26,143,PCB,103323
22,72,68,0,162,PCM,45397
41,70,54,0,165,PCM,43437
88,53,0,47,188,PCB,30706
81,31,0,68,180,PCB,40685
25,51,0,63,139,PCB,108200
50,96,73,0,219,PCM,6743
87,21,61,0,169,PCM,38369
65,23,0,93,181,PCB,41339
69,90,0,76,235,PCB,7605
63,68,29,0,160,PCM,48212
25,38,51,0,114,PCM,95825
25,44,20,0,89,PCM,110937
91,45,0,46,182,PCB,39388
83,99,0,39,221,PCB,8538
71,80,0,100,251,PCB,3133
51,98,0,73,222,PCB,7891
20,37,0,32,89,PCB,165548
84,22,0,90,196,PCB,25216
21,86,65,0,172,PCM,36108
45,33,0,69,147,PCB,95826
88,74,0,92,254,PCB,3990
30,40,0,67,137,PCB,112567
35,75,81,0,191,PCM,19093
37,68,0,28,133,PCB,119509
69,51,0,77,197,PCB,25313
70,41,0,30,141,PCB,105013
94,66,0,82,242,PCB,5031
49,59,0,31,139,PCB,109038
67,29,94,0,190,PCM,19120
31,89,0,95,215,PCB,13626
76,48,44,0,168,PCM,38964
96,47,0,32,175,PCB,47889
50,51,94,0,195,PCM,16627
67,67,49,0,183,PCM,24418
28,54,0,48,130,PCB,123659
63,98,75,0,236,PCM,3977
38,83,0,26,147,PCB,93701
32,53,0,22,107,PCB,153706
23,43,54,0,120,PCM,91481
99,97,30,0,226,PCM,5876
80,99,97,0,276,PCM,1207
82,50,0,80,212,PCB,14508
47,79,25,0,151,PCM,59573
64,65,0,39,168,PCB,59216
78,73,0,32,183,PCB,39565
80,82,0,40,202,PCB,21388
51,54,35,0,140,PCM,72469
46,55,0,75,176,PCB,47273
37,81,20,0,138,PCM,74577
57,20,0,99,176,PCB,47827
97,36,57,0,190,PCM,20378
36,39,28,0,103,PCM,103146
35,79,0,72,186,PCB,33542
90,57,0,23,170,PCB,56785
50,46,96,0,192,PCM,18809
88,72,0,57,217,PCB,11610
24,35,0,35,94,PCB,161742
99,71,0,70,240,PCB,3258
42,46,54,0,142,PCM,70441
98,42,71,0,211,PCM,10192
86,49,100,0,235,PCM,3518
83,68,48,0,199,PCM,15855
26,56,0,36,118,PCB,139349
27,87,0,72,186,PCB,32906
30,28,0,40,98,PCB,161086
61,27,0,78,166,PCB,63251
33,65,0,75,173,PCB,49861
29,51,58,0,138,PCM,73470
61,95,41,0,197,PCM,16846
32,76,0,53,161,PCB,70840
91,69,0,88,248,PCB,4083
94,56,33,0,183,PCM,24349
37,58,0,74,169,PCB,59011
84,30,0,31,145,PCB,100695
26,63,0,86,175,PCB,47829
72,72,0,48,192,PCB,29539
93,72,27,0,192,PCM,18774
42,65,59,0,166,PCM,40953
74,35,0,91,200,PCB,21747
76,20,97,0,193,PCM,17493
73,86,27,0,186,PCM,23946
54,27,63,0,144,PCM,67052
27,21,0,74,122,PCB,136876
86,87,0,79,252,PCB,4354
21,51,0,97,169,PCB,55991
76,98,35,0,209,PCM,9774
55,78,0,84,217,PCB,10071
100,75,92,0,267,PCM,28
29,100,0,61,190,PCB,28788
58,79,0,80,217,PCB,9980
73,48,54,0,175,PCM,32230
31,26,26,0,83,PCM,111198
38,97,0,31,166,PCB,63390
84,74,62,0,220,PCM,7773
67,63,24,0,154,PCM,55295
92,99,58,0,249,PCM,1247
55,56,0,70,181,PCB,41948
31,28,25,0,84,PCM,113122
78,42,22,0,142,PCM,69821
33,38,36,0,107,PCM,101884
37,60,0,52,149,PCB,90869
65,57,0,29,151,PCB,88391
50,62,0,65,177,PCB,47201
85,75,0,95,255,PCB,2066
57,82,0,71,210,PCB,13372
45,51,0,52,148,PCB,93492
61,96,0,28,185,PCB,35029
90,78,28,0,196,PCM,17214
71,57,0,74,202,PCB,19580
49,29,32,0,110,PCM,99296
87,70,0,91,248,PCB,5244
55,86,0,26,167,PCB,60393
43,59,65,0,167,PCM,40733
83,75,33,0,191,PCM,19607
28,62,0,59,149,PCB,91570
70,50,26,0,146,PCM,63870
81,65,38,0,184,PCM,24314
76,48,0,47,171,PCB,53315
98,92,45,0,235,PCM,3320
66,51,37,0,154,PCM,55519
51,56,63,0,170,PCM,36671
36,33,27,0,96,PCM,106915
31,30,0,44,105,PCB,153445
81,81,0,66,228,PCB,8186
64,62,0,62,188,PCB,31006
42,76,0,23,141,PCB,105422
52,81,42,0,175,PCM,31093
62,100,0,69,231,PCB,6465
37,31,24,0,92,PCM,109517
96,58,0,44,198,PCB,21230
66,88,58,0,212,PCM,8576
52,69,62,0,183,PCM,26119
75,99,0,77,251,PCB,3002
82,50,0,54,186,PCB,33949
96,37,0,30,163,PCB,67200
62,56,0,59,177,PCB,45877
95,79,0,66,240,PCB,4281
79,39,63,0,181,PCM,26232
82,26,0,54,162,PCB,67612
58,41,0,69,168,PCB,59406
42,60,0,69,171,PCB,54188
88,62,71,0,221,PCM,6261
36,50,77,0,163,PCM,44239
100,65,22,0,187,PCM,21518
85,28,0,98,211,PCB,14818
76,84,21,0,181,PCM,27821
26,42,23,0,91,PCM,110286
76,59,70,0,205,PCM,11047
73,79,27,0,179,PCM,27851
99,43,0,34,176,PCB,45589
51,28,80,0,159,PCM,48154
46,42,0,25,113,PCB,148415
33,42,0,28,103,PCB,155496
44,33,59,0,136,PCM,77411
74,58,98,0,230,PCM,5103
76,92,80,0,248,PCM,2490
58,60,98,0,216,PCM,9165
95,82,31,0,208,PCM,9816
37,47,0,58,142,PCB,105813
22,25,0,91,138,PCB,109794
64,29,48,0,141,PCM,70440
66,97,0,36,199,PCB,22764
91,50,32,0,173,PCM,34413
23,24,98,0,145,PCM,66472
69,92,66,0,227,PCM,5679
96,71,42,0,209,PCM,10882
22,41,0,74,137,PCB,112665
68,39,0,57,164,PCB,66423
69,45,63,0,177,PCM,29464
88,68,0,80,236,PCB,5663
34,69,88,0,191,PCM,18555
85,76,30,0,191,PCM,19844
95,32,0,35,162,PCB,68592
96,58,92,0,246,PCM,1627
85,33,0,77,195,PCB,27314
41,42,94,0,177,PCM,30051
70,73,45,0,188,PCM,20714
30,87,87,0,204,PCM,13453
28,21,64,0,113,PCM,97939
43,44,59,0,146,PCM,65348
69,92,63,0,224,PCM,6874
68,58,99,0,225,PCM,5927
42,98,0,97,237,PCB,3715
22,72,26,0,120,PCM,91568
67,36,91,0,194,PCM,16445
66,60,36,0,162,PCM,45716
60,53,72,0,185,PCM,23329
68,52,0,74,194,PCB,27434
36,90,37,0,163,PCM,44376
70,47,0,57,174,PCB,50379
32,78,0,38,148,PCB,92998
33,69,0,47,149,PCB,90473
73,59,99,0,231,PCM,3904
27,67,0,41,135,PCB,115640
96,36,42,0,174,PCM,33690
21,58,0,65,144,PCB,99936
55,22,0,49,126,PCB,129530
50,65,92,0,207,PCM,9972
84,85,0,28,197,PCB,24363
76,82,0,77,235,PCB,6155
93,50,0,90,233,PCB,5078
81,98,0,51,230,PCB,7932
29,83,97,0,209,PCM,10915
100,81,27,0,208,PCM,11119
21,24,43,0,88,PCM,110082
44,81,44,0,169,PCM,38187
69,61,77,0,207,PCM,11709
47,28,48,0,123,PCM,88431
86,20,0,27,133,PCB,118686
82,31,53,0,166,PCM,42482
76,88,0,94,258,PCB,606
92,31,0,71,194,PCB,25137
38,21,67,0,126,PCM,86948
94,89,0,87,270,PCB,3213
69,62,93,0,224,PCM,6159
36,79,90,0,205,PCM,12259
67,25,82,0,174,PCM,33269
76,84,84,0,244,PCM,3087
99,32,65,0,196,PCM,16803
86,91,47,0,224,PCM,4972
75,83,90,0,248,PCM,1320
91,80,95,0,266,PCM,1859
41,68,45,0,154,PCM,54087
27,37,0,79,143,PCB,101749
54,44,0,85,183,PCB,36891
60,99,0,38,197,PCB,23569
41,75,73,0,189,PCM,21776
23,26,84,0,133,PCM,79745
34,38,0,62,134,PCB,116335
61,77,100,0,238,PCM,4418
49,49,0,21,119,PCB,138644
93,27,89,0,209,PCM,10814
88,38,49,0,175,PCM,32353
35,49,0,69,153,PCB,83543
50,92,0,31,173,PCB,52766
91,22,0,54,167,PCB,61964
63,68,0,38,169,PCB,58883
30,59,26,0,115,PCM,95544
68,62,87,0,217,PCM,7442
26,50,0,78,154,PCB,83122
68,72,82,0,222,PCM,5754
87,92,91,0,270,PCM,1855
96,99,0,51,246,PCB,5236
34,22,0,83,139,PCB,109605
60,85,37,0,182,PCM,26797
36,82,0,83,201,PCB,20914
46,82,0,28,156,PCB,80117
44,42,0,34,120,PCB,138215
22,62,0,89,173,PCB,52452
90,28,92,0,210,PCM,9972
26,61,0,65,152,PCB,86963
83,85,0,46,214,PCB,13181
73,49,52,0,174,PCM,33748
90,34,0,98,222,PCB,11254
88,34,25,0,147,PCM,63090
94,38,0,61,193,PCB,27584
25,91,0,79,195,PCB,23821
42,66,66,0,174,PCM,33360
72,31,64,0,167,PCM,40102
52,68,0,93,213,PCB,11838
94,82,0,21,197,PCB,23440
52,80,0,38,170,PCB,57559
45,98,24,0,167,PCM,39649
30,28,52,0,110,PCM,100485
96,47,52,0,195,PCM,17082
31,39,46,0,116,PCM,94464
95,42,49,0,186,PCM,22148
100,50,97,0,247,PCM,3152
30,95,0,29,154,PCB,82686
98,83,0,39,220,PCB,10927
44,81,64,0,189,PCM,19892
81,43,0,41,165,PCB,63295
73,69,0,39,181,PCB,39089
54,86,0,81,221,PCB,9867
73,98,0,81,252,PCB,2508
62,81,63,0,206,PCM,11112
99,28,0,91,218,PCB,10232
72,48,99,0,219,PCM,6782
47,98,70,0,215,PCM,7259
83,99,0,37,219,PCB,9658
58,71,0,40,169,PCB,56437
30,39,33,0,102,PCM,104259
80,82,0,36,198,PCB,22135
79,35,30,0,144,PCM,67171
53,88,0,88,229,PCB,8630
79,55,0,40,174,PCB,48161
31,28,0,25,84,PCB,169719
33,52,0,45,130,PCB,122974
81,96,0,77,254,PCB,2537
25,55,0,84,164,PCB,64744
36,87,52,0,175,PCM,31791
25,91,77,0,193,PCM,17361
66,95,69,0,230,PCM,4689
30,49,0,78,157,PCB,76965
65,78,0,68,211,PCB,13235
97,51,0,89,237,PCB,5963
27,37,26,0,90,PCM,110391
69,67,95,0,231,PCM,4420
64,21,93,0,178,PCM,30106
96,70,80,0,246,PCM,2262
47,52,61,0,160,PCM,48081
78,89,95,0,262,PCM,2360
22,80,0,79,181,PCB,41840
73,66,0,44,183,PCB,37200
31,42,82,0,155,PCM,53899
24,98,29,0,151,PCM,59693
96,60,0,42,198,PCB,22863
32,80,0,67,179,PCB,41196
81,27,0,36,144,PCB,101951
23,29,72,0,124,PCM,88633
46,88,28,0,162,PCM,45666
75,66,0,37,178,PCB,45238
86,88,35,0,209,PCM,10145
43,31,0,45,119,PCB,138034
49,77,21,0,147,PCM,63595
72,45,86,0,203,PCM,13801
33,86,0,53,172,PCB,51774
24,76,77,0,177,PCM,30673
75,57,0,99,231,PCB,6891
40,29,0,92,161,PCB,71862
50,44,0,80,174,PCB,49836
89,52,43,0,184,PCM,24895
